ID,vehID,Delay,RedArrival,SplitFailure,SignalID,ApproachDirection,TravelDirection,ETT,TravelTime,ExitStatus,Day,Stops,Uturn
2309,03bfa612af0b7eae97faeac50bd070a1187c263d,125.23000,Yes,No,1037,Northbound,Left,7.456,132.686,NULL,3,1,No
2310,04184f3590e6b85acd96dab6b595f8386c73ce7d,109.14700,No,No,1037,Westbound,Right,9.587,118.734,NULL,3,2,No
2311,04207e460d6512243fb503496563edb6e03b6f95,1.81200,No,No,1037,Westbound,Straight,9.587,11.399,NULL,3,0,No
2312,04f6d91f823bb502735e537eea0abdb92c395afb,66.67600,Yes,No,1037,Northbound,Right,7.456,74.132,NULL,3,2,No
2313,053a34e1709c968964187fe11bbcfadfeb2f3252,110.58300,NULL,NULL,1037,Westbound,Straight,9.587,120.170,NULL,3,1,No
2314,055f8c28daa3a2d2187a09c2e05acbe18cf9cda4,32.28400,Yes,No,1037,Westbound,Straight,9.587,41.871,NULL,3,1,No
2315,0567dc2179d7a09723266a2c9cd797a420fc0c99,7.58400,No,No,1037,Westbound,Straight,9.587,17.171,NULL,3,0,No
2316,0595632bada2fef3b38de020f17e0c7cfbbe3ea8,3.91800,No,No,1037,Westbound,Straight,9.587,13.505,NULL,3,0,No
2317,05cf088628e69eece2599828d9895a24ad05b06d,126.55000,Yes,No,1037,Westbound,Straight,9.587,136.137,NULL,3,1,No
2318,05ee29ad706e0acf7950499d78e8c7ea21918a04,57.18300,Yes,No,1037,Westbound,Straight,9.587,66.770,NULL,3,1,No
2319,061bd12b0e938f7172b864a20e8dad0b628d6ff9,2.89000,No,No,1037,Westbound,Straight,9.587,12.477,NULL,3,0,No
2320,068243fed69a822ae4846a3ae5bc41295a2595d1,115.09000,No,No,1037,Westbound,Straight,9.587,124.677,NULL,3,1,No
2321,07b338af5b23dba9a08d841db34d66da96435465,3.19700,No,No,1037,Westbound,Straight,9.587,12.784,NULL,3,0,No
2322,07e7df92d1ff26f8e0c88dee3cadc12156a2f02d,0.69800,NULL,NULL,1037,Westbound,Straight,9.587,10.285,NULL,3,0,No
2323,0810c1d93301ccdde87682758306a367b9ef6e6a,5.26200,Yes,No,1037,Northbound,Right,7.456,12.718,NULL,3,0,No
2324,08626670b83fcecc3e52fbd952d79557cc13ff99,0.55600,NULL,NULL,1037,Westbound,Straight,9.587,10.143,NULL,3,0,No
2325,08be2e393763cd2e5f46fd5caacc59d4282d980a,16.46300,Yes,No,1037,Westbound,Straight,9.587,26.050,NULL,3,1,No
2326,08f7df87a095f3a3863519b967f711768ef1d2db,41.31300,Yes,No,1037,Westbound,Straight,9.587,50.900,NULL,3,1,No
2327,092f71ce104e26b190e6dd63e8b65df423b1ee79,2.73900,Yes,No,1037,Westbound,Straight,9.587,12.326,NULL,3,0,No
2328,0934fb35ebddf1fef5ed3431621cdf12bb665036,0.85400,NULL,NULL,1037,Westbound,Straight,9.587,10.441,NULL,3,0,No
2329,094dbb205aa3e5f0f3b6d39299193a468f7cd34f,37.63500,NULL,NULL,1037,Westbound,Straight,9.587,47.222,NULL,3,1,No
