ID,vehID,Delay,RedArrival,SplitFailure,SignalID,ApproachDirection,TravelDirection,ETT,TravelTime,ExitStatus,Day
18928,3f0f203ac4b9f64b54c8c61989e067dcc8f54716,110.77600,Yes,No,3084,Eastbound,Right,9.587,120.363,NULL,23
18929,3f2acc84755148729174189a8e8099e967ce9d87,105.10100,No,No,3084,Northbound,Straight,7.456,112.557,NULL,23
18930,3f33cb61571e2cb6b8da075df8699d26c82db6a5,47.89500,No,No,3084,Westbound,Straight,9.587,57.482,NULL,23
18931,3f44f6d4bdd809bd471307fecdf55ef5930e4a12,1.06100,No,No,3084,Northbound,Straight,7.456,8.517,NULL,23
18932,3f55c6637ecff50795d48f7a26b13b85c82c854b,67.34000,Yes,No,3084,Northbound,Right,7.456,74.796,NULL,23
18933,3f57a35f672618f8e8152a08d674ff4cf7f6c3f3,6.51100,No,No,3084,Westbound,Straight,9.587,16.098,NULL,23
18934,3f5ede894fb30324e9869a65d1cc520ed2941ee9,5.84900,Yes,No,3084,Northbound,Right,7.456,13.305,NULL,23
18935,3f6c63b67ba5198f5440c8345ef452c0701bbbcb,61.28000,Yes,No,3084,Eastbound,Straight,9.587,70.867,NULL,23
18936,3f765d7ce36b82d46e215aee366f765373a17d0f,115.64100,Yes,No,3084,Southbound,Straight,9.587,125.228,NULL,23
18937,3fa1b60bf0b6656dc0729178440423996478a10d,174.60400,Yes,No,3084,Southbound,Right,9.587,184.191,NULL,23
18938,3faaf78d9de5f9524045e978c7c35fe09da386b1,143.01500,Yes,No,3084,Eastbound,Straight,9.587,152.602,NULL,23
18939,3fabc8466219ec14e6d0a860a452b1d11ca2c9ef,137.58000,Yes,No,3084,Eastbound,Straight,9.587,147.167,NULL,23
18940,3fba8b6378f06c36dbdc97b9095abc889d08ce62,36.54300,Yes,No,3084,Southbound,Straight,9.587,46.130,NULL,23
18941,3fbb8f8bc792fbf630a289f3823f1c5986549066,2.59400,No,No,3084,Eastbound,Straight,9.587,12.181,NULL,23
18942,3fbf48851231ea314d2ff009bd4be2cfed35a838,19.14900,Yes,No,3084,Southbound,Straight,9.587,28.736,NULL,23
18943,3fc09effac3a2198352784332c31b4b2570963df,37.85800,Yes,No,3084,Northbound,Left,7.456,45.314,NULL,23
18944,3fd47d7faebb1f2cf6f454d94ada8e80ee64fbd7,77.31900,Yes,No,3084,Eastbound,Straight,9.587,86.906,NULL,23
18945,3fdffa2e908a20518fd221d0e1ed2f61b63ea909,191.80200,No,No,3084,Northbound,Left,7.456,199.258,NULL,23
18946,3fe47b34c430a9692e547337721c6cc7af9d01f7,74.15500,Yes,No,3084,Northbound,Straight,7.456,81.611,NULL,23
18947,3ff8e5fc71b4a3db27ffb05c24f4a938bcd99fd3,19.20400,No,No,3084,Southbound,Straight,9.587,28.791,NULL,23
18948,3ffafb74fe6bc410e8b1fbaad760d4eaa4a76464,62.22800,Yes,No,3084,Northbound,Right,7.456,69.684,NULL,23
18949,40056c630906de232d9e3a236c77bc86e528b55e,0.80000,Yes,No,3084,Westbound,Straight,9.587,10.387,NULL,23
